,RealCoupon,ModelCoupon,PercentError,,RealCoupon,ModelCoupon
5/27/2014,2.96398,3.006375589,0.014303601,5/23/2014,3.20629,3.146225609
5/23/2014,2.98663,3.022871262,0.0121345,5/22/2014,3.21443,3.16527281
5/22/2014,2.99436,3.043285561,0.016339238,5/21/2014,3.20037,3.146302092
5/21/2014,2.97359,3.026195412,0.017690876,5/20/2014,3.19062,3.127866537
5/20/2014,2.96342,3.008527567,0.015221456,5/19/2014,3.22497,3.152101478
5/19/2014,2.99585,3.030915899,0.011704825,5/16/2014,3.20717,3.138494192
5/16/2014,2.97693,3.015119075,0.012828342,5/15/2014,3.17951,3.118066999
5/15/2014,2.95043,2.996821385,0.015723601,5/14/2014,3.19709,3.139709336
5/14/2014,2.96084,3.017443853,0.019117498,5/13/2014,3.2728,3.194910225
5/13/2014,3.04365,3.068862501,0.00828364,5/12/2014,3.29573,3.222489893
5/12/2014,3.06678,3.093721075,0.008784808,5/9/2014,3.26793,3.195487448
5/9/2014,3.02948,3.069060726,0.013065188,5/8/2014,3.2302,3.17502602
5/8/2014,2.99169,3.04830123,0.018922826,5/7/2014,3.23656,3.193509186
5/7/2014,2.99519,3.064281252,0.023067402,5/6/2014,3.26769,3.208795972
5/6/2014,3.01913,3.074846178,0.018454382,5/5/2014,3.2885,3.221924146
5/5/2014,3.04124,3.088259936,0.015460778,5/2/2014,3.27582,3.207678528
5/2/2014,3.02567,3.073832143,0.015917844,5/1/2014,3.28753,3.216844613
5/1/2014,3.03841,3.087995987,0.016319716,4/30/2014,3.32743,3.239855767
4/30/2014,3.08806,3.111224188,0.00750121,4/29/2014,3.37337,3.28054753
4/29/2014,3.14845,3.148618707,5.36E-05,4/28/2014,3.35146,3.267422555
4/28/2014,3.11449,3.137674105,0.007443949,4/25/2014,3.34407,3.257699856
4/25/2014,3.10641,3.127284241,0.006719731,4/24/2014,3.36531,3.274596443
4/24/2014,3.1405,3.143977311,0.001107247,4/23/2014,3.37126,3.268958666
4/23/2014,3.14834,3.139473834,0.00281614,4/22/2014,3.41581,3.305892726
4/22/2014,3.20349,3.174529324,0.009040352,4/21/2014,3.42149,3.300376787
4/21/2014,3.21352,3.170811706,0.013290191,4/17/2014,3.40802,3.30724021
4/17/2014,3.19921,3.17662646,0.007059099,4/16/2014,3.3508,3.243717771
4/16/2014,3.13178,3.117427324,0.004582913,4/15/2014,3.33793,3.225026321
4/15/2014,3.12012,3.100955699,0.006142168,4/14/2014,3.34083,3.232990404
4/14/2014,3.12416,3.110086994,0.004504573,4/11/2014,3.31617,3.208330805
4/11/2014,3.09464,3.0878443,0.002195958,4/10/2014,3.31552,3.211048946
4/10/2014,3.09534,3.090699068,0.001499329,4/9/2014,3.37509,3.249323489
4/9/2014,3.15838,3.125596267,0.01037992,4/8/2014,3.37318,3.254664033
4/8/2014,3.15874,3.126324333,0.010262214,4/7/2014,3.3951,3.275616469
4/7/2014,3.18072,3.147694273,0.010383098,4/4/2014,3.42956,3.310260814
4/4/2014,3.2141,3.180648942,0.010407597,4/3/2014,3.48403,3.383437803
4/3/2014,3.27094,3.247823365,0.007067276,4/2/2014,3.50663,3.394706261
4/2/2014,3.29389,3.260177566,0.010234839,4/1/2014,3.4727,3.36668213
4/1/2014,3.25499,3.235605816,0.005955221,3/31/2014,3.44686,3.340979943
3/31/2014,3.22636,3.209835939,0.00512158,3/28/2014,3.43061,3.341854424
3/28/2014,3.21139,3.208633396,0.000858383,3/27/2014,3.40527,3.318729763
3/27/2014,3.18403,3.187826479,0.00119235,3/26/2014,3.42174,3.342405349
3/26/2014,3.20523,3.212799448,0.002361593,3/25/2014,3.45197,3.375934446
3/25/2014,3.24077,3.243353835,0.00079729,3/24/2014,3.45267,3.374242455
3/24/2014,3.23623,3.240008842,0.001167668,3/21/2014,3.45235,3.379846514
3/21/2014,3.23274,3.247560473,0.004584493,3/20/2014,3.48581,3.40521151
3/20/2014,3.27122,3.275116266,0.001191074,3/19/2014,3.47241,3.398428583
