asOfDate,4y7y_ATM,5y7y_ATM,3y7y_ATM,5y10y_ATM
9/24/2013,103.694737,102.6682783,104.0306286,99.51498211
9/23/2013,104.040778,102.9517076,104.4934888,99.68918364
9/20/2013,104.5504645,103.3742363,105.0654763,100.1062839
9/19/2013,105.006201,103.6441997,105.7171136,100.232883
9/18/2013,105.1766818,103.6628929,105.9248625,100.2837351
9/17/2013,107.550976,105.5018116,108.8736789,101.8351475
9/16/2013,108.4985941,106.4816513,109.846201,102.8027756
9/13/2013,109.2752694,106.8779331,110.9741208,103.140562
9/12/2013,109.9750974,107.2737779,111.9994902,103.5137011
9/11/2013,110.964753,108.193068,112.9548015,104.3530003
9/10/2013,111.6775545,108.9071359,113.7196348,105.0376267
9/9/2013,111.3332188,108.6731348,113.323846,104.8586567
9/6/2013,111.3136621,108.6188612,113.3080973,104.8051518
9/5/2013,111.6525997,108.8505977,113.7383027,104.915733
9/4/2013,110.9881614,108.2772398,112.7286492,104.1560503
9/3/2013,110.546705,107.9667557,112.1748124,103.9014917
8/30/2013,109.5953619,107.2529166,111.0375964,103.3595607
8/29/2013,109.0079005,106.8602808,110.2317301,102.9864424
8/28/2013,109.078981,106.8304826,110.4228107,102.903515
8/27/2013,107.7241921,105.7223974,108.82867,101.9774577
8/26/2013,107.7857846,105.7083478,108.9742248,102.0813825
8/23/2013,107.9504303,105.8789245,109.1254897,102.3312397
8/22/2013,108.6745589,106.3844458,110.0781511,102.6261089
8/21/2013,108.9334334,106.635304,110.149376,102.9544104
8/20/2013,107.6970858,105.7324234,108.6281086,102.0652839
8/19/2013,108.1777576,106.0899812,109.2888234,102.3151079
8/16/2013,107.4382642,105.505659,108.3750133,101.7818585
8/15/2013,106.9318339,105.3600866,107.5237676,101.7447777
8/14/2013,106.3805728,104.8959123,106.7914496,101.2934951
8/13/2013,106.3762771,104.9364029,106.793037,101.235272
8/12/2013,105.6731553,104.368797,105.9952146,100.7770432
8/9/2013,105.2920019,103.9885759,105.6105966,100.4910445
8/8/2013,105.4890975,104.1448019,105.8589314,100.6053665
8/7/2013,106.2511538,104.6931025,106.7290805,101.0703721
8/6/2013,107.3303914,105.499643,108.1306814,101.758093
8/5/2013,107.1605307,105.3159901,108.0287276,101.6779625
8/2/2013,107.0103851,105.3133269,107.7154284,101.5452189
8/1/2013,108.5084154,106.1590653,109.8833794,102.1497006
7/31/2013,107.0569986,105.0660731,107.9964457,101.2540673
