asOfDate,RealCoupon,ModelCoupon,RealMortgageRate
12/19/2012,2.23717,2.468369175,3.295
12/18/2012,2.27802,2.505871764,3.295
12/17/2012,2.2148,2.442836994,3.295
12/14/2012,2.17471,2.387657017,3.295
12/13/2012,2.17954,2.393506912,3.295
12/12/2012,2.16985,2.365266935,3.245
12/11/2012,2.1257,2.316772095,3.245
12/10/2012,2.12632,2.294732838,3.245
12/7/2012,2.16633,2.303094314,3.245
12/6/2012,2.10827,2.27006088,3.245
12/5/2012,2.07994,2.27328577,3.265
12/4/2012,2.06783,2.286332976,3.265
12/3/2012,2.08622,2.300803433,3.265
11/30/2012,2.07253,2.295420188,3.265
11/29/2012,2.07244,2.2993772,3.265
11/28/2012,2.05097,2.296327035,3.27
11/27/2012,2.04405,2.320923609,3.27
11/26/2012,2.1329,2.354584355,3.27
11/23/2012,2.20126,2.378963969,3.27
11/21/2012,2.19254,2.375140029,3.235
11/20/2012,2.14204,2.351066642,3.235
11/19/2012,2.06997,2.32330672,3.235
11/16/2012,2.03611,2.292195806,3.235
11/15/2012,2.09234,2.298523391,3.265
11/14/2012,2.13435,2.290283698,3.235
11/13/2012,2.08298,2.289617901,3.265
11/9/2012,2.0596,2.303566004,3.265
11/8/2012,2.04956,2.287414101,3.265
11/7/2012,2.09197,2.317900683,3.325
11/6/2012,2.24889,2.428922802,3.325
11/5/2012,2.14794,2.367553826,3.325
11/2/2012,2.19493,2.399729029,3.325
11/1/2012,2.23243,2.398684042,3.325
10/31/2012,2.14235,2.378596939,3.315
10/29/2012,2.17586,2.402821955,3.315
10/26/2012,2.20624,2.42825062,3.315
10/25/2012,2.27753,2.498325597,3.315
10/24/2012,2.22502,2.439113518,3.335
10/23/2012,2.18831,2.443106912,3.335
10/22/2012,2.2048,2.46402409,3.335
10/19/2012,2.17149,2.431410097,3.335
10/18/2012,2.23804,2.481227439,3.335
10/17/2012,2.19994,2.477739722,3.295
10/16/2012,2.09031,2.381748758,3.295
10/15/2012,2.0434,2.350131268,3.295
10/12/2012,2.01487,2.341384145,3.295
10/11/2012,2.01882,2.350247233,3.295
10/10/2012,2.0567,2.373556443,3.315
10/9/2012,2.1122,2.404325215,3.315
10/5/2012,2.09992,2.428712001,3.315
10/4/2012,2.06588,2.383594657,3.315
10/3/2012,1.97292,2.340280713,3.26
10/2/2012,1.89432,2.350642629,3.26
10/1/2012,1.97791,2.354544992,3.26
9/28/2012,2.03991,2.364495831,3.26
9/27/2012,2.05097,2.360507169,3.26
9/26/2012,1.9725,2.348948974,3.3
9/25/2012,1.97862,2.387057941,3.3
9/24/2012,2.04335,2.402723344,3.3
9/21/2012,2.0967,2.437348955,3.3
9/20/2012,2.16993,2.4479799,3.3
9/19/2012,2.21086,2.464682395,3.39
9/18/2012,2.2694,2.506299066,3.39
9/17/2012,2.28117,2.536465436,3.39
9/14/2012,2.26805,2.567098309,3.39
9/13/2012,2.20601,2.486947567,3.39
9/12/2012,2.42922,2.55276728,3.45
9/11/2012,2.39371,2.488736001,3.45
9/10/2012,2.37785,2.477940005,3.45
9/7/2012,2.37384,2.471341433,3.45
9/6/2012,2.45607,2.495925864,3.45
9/5/2012,2.39528,2.414797348,3.475
9/4/2012,2.38417,2.422475685,3.475
8/31/2012,2.36895,2.42845582,3.475
8/30/2012,2.43371,2.479074768,3.475
8/29/2012,2.46878,2.500165285,3.49
8/28/2012,2.41104,2.469955615,3.49
8/27/2012,2.44075,2.485827498,3.49
8/24/2012,2.47609,2.509043147,3.49
8/23/2012,2.44471,2.495398077,3.49
8/22/2012,2.51207,2.540241479,3.585
8/21/2012,2.62589,2.616463478,3.585
8/20/2012,2.61868,2.647929631,3.585
8/17/2012,2.63904,2.649471496,3.585
8/16/2012,2.67019,2.688768214,3.585
8/15/2012,2.63813,2.648454852,3.52
8/14/2012,2.50321,2.556084095,3.52
8/13/2012,2.43262,2.488938994,3.52
8/10/2012,2.43735,2.481315997,3.52
8/9/2012,2.45717,2.51913882,3.52
8/8/2012,2.45388,2.506462138,3.49
8/7/2012,2.46483,2.486446192,3.49
8/6/2012,2.41026,2.416757567,3.49
8/3/2012,2.42675,2.451302363,3.49
8/2/2012,2.33657,2.364234917,3.49
8/1/2012,2.36588,2.398915375,3.475
7/31/2012,2.3146,2.344318562,3.475
7/30/2012,2.33651,2.349311026,3.475
7/27/2012,2.46854,2.414532389,3.475
7/26/2012,2.28779,2.300337841,3.475
7/25/2012,2.26337,2.284753112,3.415
7/24/2012,2.24718,2.292322316,3.415
7/23/2012,2.27723,2.313112149,3.415
7/20/2012,2.32496,2.334802348,3.415
7/19/2012,2.39312,2.372741521,3.415
7/18/2012,2.37585,2.364912834,3.455
7/17/2012,2.4361,2.39124099,3.455
7/16/2012,2.39684,2.361033003,3.455
7/13/2012,2.4585,2.377197581,3.455
7/12/2012,2.40343,2.356163235,3.455
7/11/2012,2.41162,2.381614133,3.485
7/10/2012,2.42303,2.400961069,3.485
7/9/2012,2.4492,2.408110322,3.485
7/6/2012,2.47665,2.44737735,3.485
7/5/2012,2.55638,2.495652548,3.485
7/3/2012,2.58328,2.517632275,3.57
7/2/2012,2.54532,2.489902362,3.57
6/29/2012,2.62372,2.531062108,3.57
6/28/2012,2.55096,2.479161845,3.57
6/27/2012,2.58867,2.505199633,3.585
6/26/2012,2.61639,2.51232552,3.585
6/25/2012,2.5785,2.494055445,3.585
6/22/2012,2.66819,2.540608016,3.585
6/21/2012,2.61405,2.519519291,3.585
6/20/2012,2.64221,2.530286661,3.585
6/19/2012,2.5989,2.541459466,3.585
6/18/2012,2.59515,2.519863553,3.585
6/15/2012,2.61355,2.53213733,3.585
6/14/2012,2.63094,2.567805167,3.585
6/13/2012,2.65256,2.564246156,3.635
