asOfDate,2yrSwap,10yrSwap,SwapVol,Coupon
1/18/2012,0.580304,2.030157,96.54309469,2.90295
1/17/2012,0.557666,1.983326,97.21421854,2.86264
1/13/2012,0.571948,2.000039,97.43723105,2.81631
1/12/2012,0.580332,2.064053,98.73497509,2.85234
1/11/2012,0.609118,2.0483,97.60681559,2.88377
1/10/2012,0.637465,2.109581,98.55070178,2.91779
1/9/2012,0.642736,2.0913,97.73272042,2.87572
1/6/2012,0.678341,2.094886,99.1282092,2.85738
1/5/2012,0.715878,2.121191,100.4250781,2.91011
1/4/2012,0.725513,2.128085,100.8755269,2.9957
1/3/2012,0.738282,2.110677,102.7437353,2.99221
12/30/2011,0.724151,2.036479,102.6386977,3.0169
12/29/2011,0.758133,2.055483,104.6479009,3.02888
12/28/2011,0.778998,2.06735,104.4126295,3.04824
