asOfDate,RawRate,Point,Rate
5/21/2012,3.78,0.8,3.73
5/18/2012,3.78,0.8,3.73
5/17/2012,3.78,0.8,3.73
5/16/2012,3.79,0.7,3.715
5/15/2012,3.79,0.7,3.715
5/14/2012,3.79,0.7,3.715
5/11/2012,3.79,0.7,3.715
5/10/2012,3.79,0.7,3.715
5/9/2012,3.83,0.7,3.755
5/8/2012,3.83,0.7,3.755
5/7/2012,3.83,0.7,3.755
5/4/2012,3.83,0.7,3.755
5/3/2012,3.83,0.7,3.755
5/2/2012,3.84,0.8,3.79
5/1/2012,3.84,0.8,3.79
4/30/2012,3.84,0.8,3.79
4/27/2012,3.84,0.8,3.79
4/26/2012,3.84,0.8,3.79
4/25/2012,3.88,0.7,3.805
4/24/2012,3.88,0.7,3.805
4/23/2012,3.88,0.7,3.805
4/20/2012,3.88,0.7,3.805
4/19/2012,3.88,0.7,3.805
4/18/2012,3.9,0.8,3.85
4/17/2012,3.9,0.8,3.85
4/16/2012,3.9,0.8,3.85
4/13/2012,3.9,0.8,3.85
4/12/2012,3.9,0.8,3.85
4/11/2012,3.88,0.7,3.805
4/10/2012,3.88,0.7,3.805
4/9/2012,3.88,0.7,3.805
4/6/2012,3.88,0.7,3.805
4/5/2012,3.88,0.7,3.805
4/4/2012,3.98,0.7,3.905
4/3/2012,3.98,0.7,3.905
4/2/2012,3.98,0.7,3.905
3/30/2012,3.98,0.7,3.905
3/29/2012,3.98,0.7,3.905
3/28/2012,3.99,0.7,3.915
3/27/2012,3.99,0.7,3.915
3/26/2012,3.99,0.7,3.915
3/23/2012,3.99,0.7,3.915
3/22/2012,3.99,0.7,3.915
3/21/2012,4.08,0.8,4.03
3/20/2012,4.08,0.8,4.03
3/19/2012,4.08,0.8,4.03
3/16/2012,4.08,0.8,4.03
3/15/2012,4.08,0.8,4.03
3/14/2012,3.92,0.8,3.87
3/13/2012,3.92,0.8,3.87
3/12/2012,3.92,0.8,3.87
3/9/2012,3.92,0.8,3.87
3/8/2012,3.92,0.8,3.87
3/7/2012,3.88,0.8,3.83
3/6/2012,3.88,0.8,3.83
3/5/2012,3.88,0.8,3.83
3/2/2012,3.88,0.8,3.83
3/1/2012,3.88,0.8,3.83
2/29/2012,3.9,0.8,3.85
2/28/2012,3.9,0.8,3.85
2/27/2012,3.9,0.8,3.85
2/24/2012,3.9,0.8,3.85
2/23/2012,3.9,0.8,3.85
2/22/2012,3.95,0.8,3.9
2/21/2012,3.95,0.8,3.9
2/17/2012,3.95,0.8,3.9
2/16/2012,3.95,0.8,3.9
2/15/2012,3.87,0.8,3.82
2/14/2012,3.87,0.8,3.82
2/13/2012,3.87,0.8,3.82
2/10/2012,3.87,0.8,3.82
2/9/2012,3.87,0.8,3.82
2/8/2012,3.87,0.8,3.82
2/7/2012,3.87,0.8,3.82
2/6/2012,3.87,0.8,3.82
2/3/2012,3.87,0.8,3.82
2/2/2012,3.87,0.8,3.82
2/1/2012,3.87,0.8,3.82
1/31/2012,3.87,0.8,3.82
1/30/2012,3.87,0.8,3.82
1/27/2012,3.87,0.8,3.82
1/26/2012,3.87,0.8,3.82
1/25/2012,3.98,0.7,3.905
1/24/2012,3.98,0.7,3.905
1/23/2012,3.98,0.7,3.905
1/20/2012,3.98,0.7,3.905
1/19/2012,3.98,0.7,3.905
1/18/2012,3.88,0.8,3.83
