yyyymm01, Day Count, Normalized Month
20431201, 22, 1.0521
20440101, 19, 0.9087
20440201, 20, 0.9565
20440301, 23, 1.1000
20440401, 21, 1.0043
20440501, 21, 1.0043
20440601, 22, 1.0521
20440701, 20, 0.9565
20440801, 23, 1.1000
20440901, 21, 1.0043
20441001, 20, 0.9565
20441101, 20, 0.9565
20441201, 21, 1.0043
20450101, 20, 0.9565
20450201, 19, 0.9087
20450301, 23, 1.1000
20450401, 20, 0.9565
20450501, 22, 1.0521
20450601, 22, 1.0521
20450701, 20, 0.9565
20450801, 23, 1.1000
20450901, 20, 0.9565
20451001, 21, 1.0043
20451101, 20, 0.9565
20451201, 20, 0.9565
20460101, 21, 1.0043
20460201, 19, 0.9087
20460301, 22, 1.0521
20460401, 21, 1.0043
20460501, 22, 1.0521
20460601, 21, 1.0043
20460701, 21, 1.0043
20460801, 23, 1.1000
20460901, 19, 0.9087
20461001, 22, 1.0521
20461101, 20, 0.9565
20461201, 20, 0.9565
20470101, 21, 1.0043
20470201, 19, 0.9087
20470301, 21, 1.0043
20470401, 22, 1.0521
20470501, 22, 1.0521
20470601, 20, 0.9565
20470701, 22, 1.0521
20470801, 22, 1.0521
20470901, 20, 0.9565
20471001, 22, 1.0521
20471101, 19, 0.9087
20471201, 21, 1.0043
20480101, 21, 1.0043
20480201, 19, 0.9087
20480301, 22, 1.0521
20480401, 22, 1.0521
20480501, 20, 0.9565
20480601, 22, 1.0521
20480701, 22, 1.0521
20480801, 21, 1.0043
20480901, 21, 1.0043
20481001, 21, 1.0043
20481101, 19, 0.9087
20481201, 22, 1.0521
20490101, 19, 0.9087
20490201, 19, 0.9087
20490301, 23, 1.1000
20490401, 22, 1.0521
20490501, 20, 0.9565
20490601, 22, 1.0521
20490701, 21, 1.0043
20490801, 22, 1.0521
20490901, 21, 1.0043
20491001, 20, 0.9565
20491101, 20, 0.9565
20491201, 21, 1.0043
20500101, 20, 0.9565
20500201, 19, 0.9087
20500301, 23, 1.1000
20500401, 21, 1.0043
20500501, 21, 1.0043
20500601, 22, 1.0521
20500701, 20, 0.9565
20500801, 23, 1.1000
20500901, 21, 1.0043
20501001, 20, 0.9565
20501101, 20, 0.9565
20501201, 21, 1.0043
20510101, 20, 0.9565
20510201, 19, 0.9087
20510301, 23, 1.1000
20510401, 20, 0.9565
20510501, 22, 1.0521
20510601, 22, 1.0521
20510701, 20, 0.9565
20510801, 23, 1.1000
20510901, 20, 0.9565
20511001, 21, 1.0043
20511101, 20, 0.9565
20511201, 20, 0.9565
20520101, 21, 1.0043
20520201, 20, 0.9565
20520301, 21, 1.0043
20520401, 22, 1.0521
20520501, 22, 1.0521
20520601, 20, 0.9565
20520701, 22, 1.0521
20520801, 22, 1.0521
20520901, 20, 0.9565
20521001, 22, 1.0521
20521101, 19, 0.9087
20521201, 21, 1.0043
20530101, 21, 1.0043
20530201, 19, 0.9087
20530301, 21, 1.0043
20530401, 22, 1.0521
20530501, 21, 1.0043
20530601, 21, 1.0043
20530701, 22, 1.0521
20530801, 21, 1.0043
20530901, 21, 1.0043
20531001, 22, 1.0521
20531101, 18, 0.8608
20531201, 22, 1.0521
20540101, 20, 0.9565
20540201, 19, 0.9087
20540301, 22, 1.0521
20540401, 22, 1.0521
20540501, 20, 0.9565
20540601, 22, 1.0521
20540701, 22, 1.0521
20540801, 21, 1.0043
20540901, 21, 1.0043
20541001, 21, 1.0043
20541101, 19, 0.9087
20541201, 22, 1.0521
20550101, 19, 0.9087
20550201, 19, 0.9087
20550301, 23, 1.1000
20550401, 22, 1.0521
20550501, 20, 0.9565
20550601, 22, 1.0521
20550701, 21, 1.0043
20550801, 22, 1.0521
20550901, 21, 1.0043
20551001, 20, 0.9565
20551101, 20, 0.9565
20551201, 21, 1.0043
20560101, 20, 0.9565
20560201, 20, 0.9565
20560301, 23, 1.1000
20560401, 20, 0.9565
20560501, 22, 1.0521
20560601, 22, 1.0521
20560701, 20, 0.9565
20560801, 23, 1.1000
20560901, 20, 0.9565
20561001, 21, 1.0043
20561101, 20, 0.9565
20561201, 20, 0.9565
20570101, 21, 1.0043
20570201, 19, 0.9087
20570301, 22, 1.0521
20570401, 21, 1.0043
20570501, 22, 1.0521
20570601, 21, 1.0043
20570701, 21, 1.0043
20570801, 23, 1.1000
20570901, 19, 0.9087
20571001, 22, 1.0521
20571101, 20, 0.9565
20571201, 20, 0.9565
20580101, 21, 1.0043
20580201, 19, 0.9087
20580301, 21, 1.0043
20580401, 22, 1.0521
20580501, 22, 1.0521
20580601, 20, 0.9565
20580701, 22, 1.0521
20580801, 22, 1.0521
20580901, 20, 0.9565
20581001, 22, 1.0521
20581101, 19, 0.9087
20581201, 21, 1.0043
20590101, 21, 1.0043
20590201, 19, 0.9087
20590301, 21, 1.0043
20590401, 22, 1.0521
20590501, 21, 1.0043
20590601, 21, 1.0043
20590701, 22, 1.0521
20590801, 21, 1.0043
20590901, 21, 1.0043
20591001, 22, 1.0521
20591101, 18, 0.8608
20591201, 22, 1.0521
20600101, 20, 0.9565
20600201, 19, 0.9087
20600301, 23, 1.1000
20600401, 22, 1.0521
20600501, 20, 0.9565
20600601, 22, 1.0521
20600701, 21, 1.0043
20600801, 22, 1.0521
20600901, 21, 1.0043
20601001, 20, 0.9565
20601101, 20, 0.9565
20601201, 21, 1.0043
20610101, 20, 0.9565
20610201, 19, 0.9087
20610301, 23, 1.1000
20610401, 21, 1.0043
20610501, 21, 1.0043
20610601, 22, 1.0521
20610701, 20, 0.9565
20610801, 23, 1.1000
20610901, 21, 1.0043
20611001, 20, 0.9565
20611101, 20, 0.9565
20611201, 21, 1.0043
20620101, 20, 0.9565
20620201, 19, 0.9087
20620301, 23, 1.1000
20620401, 20, 0.9565
20620501, 22, 1.0521
20620601, 22, 1.0521
20620701, 20, 0.9565
20620801, 23, 1.1000
20620901, 20, 0.9565
20621001, 21, 1.0043
20621101, 20, 0.9565
20621201, 20, 0.9565
20630101, 21, 1.0043
20630201, 19, 0.9087
20630301, 22, 1.0521
20630401, 21, 1.0043
20630501, 22, 1.0521
20630601, 21, 1.0043
20630701, 21, 1.0043
20630801, 23, 1.1000
20630901, 19, 0.9087
20631001, 22, 1.0521
20631101, 20, 0.9565
20631201, 20, 0.9565
20640101, 21, 1.0043
20640201, 20, 0.9565
20640301, 21, 1.0043
20640401, 22, 1.0521
20640501, 21, 1.0043
20640601, 21, 1.0043
20640701, 22, 1.0521
20640801, 21, 1.0043
20640901, 21, 1.0043
20641001, 22, 1.0521
20641101, 18, 0.8608
20641201, 22, 1.0521
20650101, 20, 0.9565
20650201, 19, 0.9087
20650301, 22, 1.0521
20650401, 22, 1.0521
20650501, 20, 0.9565
20650601, 22, 1.0521
20650701, 22, 1.0521
20650801, 21, 1.0043
20650901, 21, 1.0043
20651001, 21, 1.0043
20651101, 19, 0.9087
20651201, 22, 1.0521
20660101, 19, 0.9087
20660201, 19, 0.9087
20660301, 23, 1.1000
20660401, 22, 1.0521
20660501, 20, 0.9565
20660601, 22, 1.0521
20660701, 21, 1.0043
20660801, 22, 1.0521
20660901, 21, 1.0043
20661001, 20, 0.9565
20661101, 20, 0.9565
20661201, 21, 1.0043
20670101, 20, 0.9565
20670201, 19, 0.9087
20670301, 23, 1.1000
20670401, 21, 1.0043
20670501, 21, 1.0043
20670601, 22, 1.0521
20670701, 20, 0.9565
20670801, 23, 1.1000
20670901, 21, 1.0043
20671001, 20, 0.9565
20671101, 20, 0.9565
20671201, 21, 1.0043
20680101, 20, 0.9565
20680201, 20, 0.9565
20680301, 22, 1.0521
20680401, 21, 1.0043
20680501, 22, 1.0521
20680601, 21, 1.0043
20680701, 21, 1.0043
20680801, 23, 1.1000
20680901, 19, 0.9087
20681001, 22, 1.0521
20681101, 20, 0.9565
20681201, 20, 0.9565
20690101, 21, 1.0043
20690201, 19, 0.9087
20690301, 21, 1.0043
20690401, 22, 1.0521
20690501, 22, 1.0521
20690601, 20, 0.9565
20690701, 22, 1.0521
20690801, 22, 1.0521
20690901, 20, 0.9565
20691001, 22, 1.0521
20691101, 19, 0.9087
20691201, 21, 1.0043
20700101, 21, 1.0043
20700201, 19, 0.9087
20700301, 21, 1.0043
20700401, 22, 1.0521
20700501, 21, 1.0043
20700601, 21, 1.0043
20700701, 22, 1.0521
20700801, 21, 1.0043
20700901, 21, 1.0043
20701001, 22, 1.0521
20701101, 18, 0.8608
20701201, 22, 1.0521
20710101, 20, 0.9565
20710201, 19, 0.9087
20710301, 22, 1.0521
20710401, 22, 1.0521
20710501, 20, 0.9565
20710601, 22, 1.0521
20710701, 22, 1.0521
20710801, 21, 1.0043
20710901, 21, 1.0043
20711001, 21, 1.0043
20711101, 19, 0.9087
20711201, 22, 1.0521
20720101, 19, 0.9087
20720201, 20, 0.9565
20720301, 23, 1.1000
20720401, 21, 1.0043
20720501, 21, 1.0043
20720601, 22, 1.0521
20720701, 20, 0.9565
20720801, 23, 1.1000
20720901, 21, 1.0043
20721001, 20, 0.9565
20721101, 20, 0.9565
20721201, 21, 1.0043
20730101, 20, 0.9565
20730201, 19, 0.9087
20730301, 23, 1.1000
20730401, 20, 0.9565
20730501, 22, 1.0521
20730601, 22, 1.0521
20730701, 20, 0.9565
20730801, 23, 1.1000
20730901, 20, 0.9565
20731001, 21, 1.0043
20731101, 20, 0.9565
20731201, 20, 0.9565
20740101, 21, 1.0043
20740201, 19, 0.9087
20740301, 22, 1.0521
20740401, 21, 1.0043
20740501, 22, 1.0521
20740601, 21, 1.0043
20740701, 21, 1.0043
20740801, 23, 1.1000
20740901, 19, 0.9087
20741001, 22, 1.0521
20741101, 20, 0.9565
20741201, 20, 0.9565
20750101, 21, 1.0043
20750201, 19, 0.9087
20750301, 21, 1.0043
20750401, 22, 1.0521
20750501, 22, 1.0521
20750601, 20, 0.9565
20750701, 22, 1.0521
20750801, 22, 1.0521
20750901, 20, 0.9565
20751001, 22, 1.0521
20751101, 19, 0.9087
20751201, 21, 1.0043
20760101, 21, 1.0043
20760201, 19, 0.9087
20760301, 22, 1.0521
20760401, 22, 1.0521
20760501, 20, 0.9565
20760601, 22, 1.0521
20760701, 22, 1.0521
20760801, 21, 1.0043
20760901, 21, 1.0043
20761001, 21, 1.0043
20761101, 19, 0.9087
20761201, 22, 1.0521
20770101, 19, 0.9087
20770201, 19, 0.9087
20770301, 23, 1.1000
20770401, 22, 1.0521
20770501, 20, 0.9565
20770601, 22, 1.0521
20770701, 21, 1.0043
20770801, 22, 1.0521
20770901, 21, 1.0043
20771001, 20, 0.9565
20771101, 20, 0.9565
20771201, 21, 1.0043
20780101, 20, 0.9565
20780201, 19, 0.9087
20780301, 23, 1.1000
20780401, 21, 1.0043
20780501, 21, 1.0043
20780601, 22, 1.0521
20780701, 20, 0.9565
20780801, 23, 1.1000
20780901, 21, 1.0043
20781001, 20, 0.9565
20781101, 20, 0.9565
20781201, 21, 1.0043
20790101, 20, 0.9565
