marketTicker,lockinBucket,cltvBucket,walaBucket,monthBucket,bal,incentive,cltv,FICO,waoltv,wala,cpr,smm,smmFactor1,constTurnOverSMM,smmFactor2,smm.model.wala,smm.flatten.wala,smmFactor3,smm.model.lockin,smmFactor4,smmFactor4,seasonalitySMMFunction,smmFactor1,constTurnOverSMM,smmFactor2,seasoningSMMFunction,smmFactor3,incentiveSMMFunction,percent diff,diff
FNCL,1-225,2-CLTV 70-80,K-age-60,Aug,146773.82,-333,70.6,788,80,59,0,-0.001386712,-0.001118316,0.004636779,-0.241183797,2.20052068,1.368957638,-0.176180614,-0.111314479,1.582728649,1.426106194,1.24,-0.001128072,0.00463227,-0.243524771,1.370246782,-0.177723294,-0.12462136,11%,0.156622455
FNCL,1-225,5-CLTV 100+,D-age-20,Aug,12154560.04,-329.6,118.9,728.86,84.9,17,0.024511,-0.001698004,-0.001369358,0.004636779,-0.295325325,1.111387038,1.111387038,-0.265726803,-0.104047542,2.553897933,2.289169102,1.24,-0.001382422,0.00463227,-0.298433051,1.114128503,-0.267862325,-0.117012904,12%,0.264728831
FNCL,1-225,5-CLTV 100+,D-age-20,Sep,11872484.79,-328,120.4,720.77,86.3,17.1,0.045494,-0.001897706,-0.001842433,0.004636779,-0.397351817,1.115576179,1.115576179,-0.356185283,-0.100627808,3.539630759,3.167170161,1.03,-0.001861042,0.00463227,-0.401755886,1.118287634,-0.359259885,-0.113432454,12%,0.372460598
FNCL,1-225,2-CLTV 70-80,F-age-30,Oct,742795.84,-327.5,73,655.98,97,27.7,0.029495,-0.001302207,-0.001302207,0.004636779,-0.280843103,1.434993527,1.368957638,-0.205151054,-0.099559141,2.060594872,1.839327272,1,-0.001311245,0.00463227,-0.2830675,1.370246782,-0.206581401,-0.112313564,12%,0.2212676
FNCL,1-225,1-CLTV <= 70,G-age-35,Oct,301978.29,-327.5,65.8,642,97,32,3.90E-05,-0.001161012,-0.001161012,0.004636779,-0.250391979,1.540161794,1.368957638,-0.182907033,-0.099559141,1.837169662,1.63943164,1,-0.001168741,0.00463227,-0.252304102,1.370246782,-0.18413041,-0.112313564,12%,0.197738021
FNCL,1-225,1-CLTV <= 70,F-age-30,Oct,1256039.23,-327.5,66.9,707,85,26,0.002589,-0.000925476,-0.000925476,0.004636779,-0.199594502,1.393415375,1.368957638,-0.14580035,-0.099559141,1.464459704,1.302467757,1,-0.000928521,0.00463227,-0.20044627,1.370246782,-0.146284795,-0.112313564,12%,0.161991947
FNCL,1-225,3-CLTV 80-90,C-age-15,Oct,1489228.12,-327.5,87.7,747,88,11,0.002578,-0.000499736,-0.000499736,0.004636779,-0.107776508,0.856256272,0.856256272,-0.125869453,-0.099559141,1.264268174,1.119735826,1,-0.000502017,0.00463227,-0.108373905,0.861741369,-0.125761521,-0.112313564,13%,0.144532348
FNCL,1-225,3-CLTV 80-90,E-age-25,Oct,1437455.24,-326.2,85.1,768.47,87.3,20.3,0.005426,-0.00103251,-0.00103251,0.004636779,-0.22267823,1.239618583,1.239618583,-0.179634472,-0.096780606,1.856099885,1.649074379,1,-0.001037668,0.00463227,-0.224008488,1.241621575,-0.180416072,-0.109404448,13%,0.207025506
FNCL,1-225,3-CLTV 80-90,H-age-40,Nov,225029.2,-325.5,87.3,636,97,38,0.000159,-0.004394799,-0.00482945,0.004636779,-1.041552667,1.686908213,1.368957638,-0.760836302,-0.095284472,7.984892866,7.136351834,0.91,-0.004884732,0.00463227,-1.054500705,1.370246782,-0.769569919,-0.107838001,12%,0.848541031
FNCL,1-225,3-CLTV 80-90,H-age-40,Oct,225483.75,-325.5,85.1,636,97,37,-0.000266,-0.003720718,-0.003720718,0.004636779,-0.802435809,1.662450476,1.368957638,-0.586165552,-0.095284472,6.151742652,5.496870212,1,-0.00376253,0.00463227,-0.812243237,1.370246782,-0.592771498,-0.107838001,12%,0.65487244
