"","x","y"
"692",271,1.08
"693",272,1.08
"694",273,1.08
"695",274,1.08
"696",275,1.08
"697",276,1.08
"698",277,1.08
"699",278,1.08
"700",279,1.08
"701",280,1.08
"702",281,1.08
"703",282,1.08
"704",283,1.08
"705",284,1.08
"706",285,1.08
"707",286,1.08
"708",287,1.08
"709",288,1.08
"710",289,1.08
"711",290,1.08
"712",291,1.08
"713",292,1.08
"714",293,1.08
"715",294,1.08
"716",295,1.08
"717",296,1.08
"718",297,1.08
"719",298,1.08
"720",299,1.08
"721",300,1.08
"722",301,1.08
"723",302,1.08
"724",303,1.08
"725",304,1.08
"726",305,1.08
"727",306,1.08
"728",307,1.08
"729",308,1.08
"730",309,1.08
"731",310,1.08
"732",311,1.08
"733",312,1.08
"734",313,1.08
"735",314,1.08
"736",315,1.08
"737",316,1.08
"738",317,1.08
"739",318,1.08
"740",319,1.08
"741",320,1.08
"742",321,1.08
"743",322,1.08
"744",323,1.08
"745",324,1.08
"746",325,1.08
"747",326,1.08
"748",327,1.08
"749",328,1.08
"750",329,1.08
"751",330,1.08
"752",331,1.08
"753",332,1.08
"754",333,1.08
"755",334,1.08
"756",335,1.08
"757",336,1.08
"758",337,1.08
"759",338,1.08
"760",339,1.08
"761",340,1.08
"762",341,1.08
"763",342,1.08
"764",343,1.08
"765",344,1.08
"766",345,1.08
"767",346,1.08
"768",347,1.08
"769",348,1.08
"770",349,1.08
"771",350,1.08
"772",351,1.08
"773",352,1.08
"774",353,1.08
"775",354,1.08
"776",355,1.08
"777",356,1.08
"778",357,1.08
"779",358,1.08
"780",359,1.08
"781",360,1.08
"782",361,1.08
"783",362,1.08
"784",363,1.08
"785",364,1.08
"786",365,1.08
"787",366,1.08
"788",367,1.08
"789",368,1.08
"790",369,1.08
"791",370,1.08
"792",371,1.08
"793",372,1.08
"794",373,1.08
"795",374,1.08
"796",375,1.08
"797",376,1.08
"798",377,1.08
"799",378,1.08
"800",379,1.08
"801",380,1.08
"802",381,1.08
"803",382,1.08
"804",383,1.08
"805",384,1.08
"806",385,1.08
"807",386,1.08
"808",387,1.08
"809",388,1.08
"810",389,1.08
"811",390,1.08
"812",391,1.08
"813",392,1.08
"814",393,1.08
"815",394,1.08
"816",395,1.08
"817",396,1.08
"818",397,1.08
"819",398,1.08
"820",399,1.08
"821",400,1.08
"822",401,1.08
"823",402,1.08
"824",403,1.08
"825",404,1.08
"826",405,1.08
"827",406,1.08
"828",407,1.08
"829",408,1.08
"830",409,1.08
"831",410,1.08
"832",411,1.08
"833",412,1.08
"834",413,1.08
"835",414,1.08
"836",415,1.08
"837",416,1.08
"838",417,1.08
"839",418,1.08
"840",419,1.08
"841",420,1.08
