,RealCoupon,FNMA after change,FNMAError,
8/21/2012,2.62589,2.62589,0,0
8/20/2012,2.61868,2.61868,0,0
8/17/2012,2.63904,2.63904,0,0
8/16/2012,2.67019,2.67019,0,0
8/15/2012,2.63813,2.63813,0,0
8/14/2012,2.50321,2.50321,0,0
8/13/2012,2.43262,2.43262,0,0
8/10/2012,2.43735,2.43735,0,0
8/9/2012,2.45717,2.45717,0,0
8/8/2012,2.45388,2.45388,0,0
8/7/2012,2.46483,2.46483,0,0
8/6/2012,2.41026,2.41026,0,0
8/3/2012,2.42675,2.42675,0,0
8/2/2012,2.33657,2.33657,0,0
8/1/2012,2.36588,2.36588,0,0
7/31/2012,2.3146,2.3146,0,0
7/30/2012,2.33651,2.33651,0,0
7/27/2012,2.46854,2.46854,0,0
7/26/2012,2.28779,2.28779,0,0
7/25/2012,2.26337,2.26337,0,0
7/24/2012,2.24718,2.24718,0,0
7/23/2012,2.27723,2.27723,0,0
7/20/2012,2.32496,2.32496,0,0
7/19/2012,2.39312,2.39312,0,0
7/18/2012,2.37585,2.37585,0,0
7/17/2012,2.4361,2.4361,0,0
7/16/2012,2.39684,2.39684,0,0
7/13/2012,2.4585,2.4585,0,0
7/12/2012,2.40343,2.40343,0,0
7/11/2012,2.41162,2.41162,0,0
7/10/2012,2.42303,2.42303,0,0
7/9/2012,2.4492,2.4492,0,0
7/6/2012,2.47665,2.47665,0,0
7/5/2012,2.55638,2.55638,0,0
7/3/2012,2.58328,2.58328,0,0
7/2/2012,2.54532,2.54532,0,0
6/29/2012,2.62372,2.62372,0,0
6/28/2012,2.55096,2.55096,0,0
6/27/2012,2.58867,2.58867,0,0
6/26/2012,2.61639,2.61639,0,0
6/25/2012,2.5785,2.5785,0,0
6/22/2012,2.66819,2.66819,0,0
6/21/2012,2.61405,2.61405,0,0
6/20/2012,2.64221,2.64221,0,0
6/19/2012,2.5989,2.5989,0,0
6/18/2012,2.59515,2.59515,0,0
6/15/2012,2.61355,2.61355,0,0
6/14/2012,2.63094,2.63094,0,0
6/13/2012,2.65256,2.65256,0,0
6/12/2012,2.69596,2.69596,0,0
6/11/2012,2.6399,2.6399,0,0
6/8/2012,2.67911,2.67911,0,0
6/7/2012,2.67758,2.67758,0,0
6/6/2012,2.70699,2.70699,0,0
6/5/2012,2.67216,2.67216,0,0
6/4/2012,2.62226,2.62226,0,0
6/1/2012,2.53159,2.53159,0,0
5/31/2012,2.64639,2.64639,0,0
5/30/2012,2.68486,2.68486,0,0
5/29/2012,2.77149,2.77149,0,0
5/25/2012,2.76345,2.76345,0,0
5/24/2012,2.76054,2.76054,0,0
5/23/2012,2.73508,2.73508,0,0
5/22/2012,2.76969,2.76969,0,0
5/21/2012,2.73357,2.73357,0,0
5/18/2012,2.67797,2.67797,0,0
5/17/2012,2.67184,2.67184,0,0
5/16/2012,2.74013,2.74013,0,0
5/15/2012,2.76971,2.76971,0,0
5/14/2012,2.77397,2.77397,0,0
5/11/2012,2.80528,2.80528,0,0
5/10/2012,2.82461,2.82461,0,0
5/9/2012,2.83276,2.83276,0,0
