"LoanID","Index","DelinqStatus","EndStatus"
"F100Q1002145",54,1,"btc"
"F100Q1002170",24,1,"btc"
"F100Q1002182",23,3,"btc"
"F100Q1002182",24,2,"btc"
"F100Q1002182",30,2,"btc"
"F100Q1002182",37,2,"btc"
"F100Q1002182",39,1,"btc"
"F100Q1002182",42,1,"btc"
"F100Q1002189",14,1,"btc"
"F100Q1002190",7,1,"btc"
"F100Q1002190",14,1,"btc"
"F100Q1002190",30,1,"btc"
"F100Q1002196",11,1,"btc"
"F100Q1002196",36,8,"btc"
"F100Q1002196",38,7,"btc"
"F100Q1002196",40,6,"btc"
"F100Q1002196",43,6,"btc"
"F100Q1002196",44,5,"btc"
"F100Q1002196",51,6,"btc"
"F100Q1002202",12,1,"btc"
"F100Q1002202",26,1,"btc"
"F100Q1002210",16,1,"btc"
"F100Q1002224",6,1,"btc"
"F100Q1002224",24,1,"btc"
"F100Q1002235",14,1,"btc"
"F100Q1002240",9,1,"btc"
"F100Q1002240",30,1,"btc"
"F100Q1002240",34,1,"btc"
"F100Q1002245",17,2,"btc"
"F100Q1002245",27,2,"btc"
"F100Q1002245",35,3,"btc"
"F100Q1002245",46,5,"btc"
"F100Q1002251",16,1,"btc"
"F100Q1002254",18,1,"btc"
"F100Q1002256",23,5,"btc"
"F100Q1002256",41,1,"btc"
"F100Q1002256",47,1,"btc"
"F100Q1002256",50,1,"btc"
"F100Q1002280",162,1,"btc"
"F100Q1002280",168,1,"btc"
"F100Q1002280",172,1,"btc"
"F100Q1002285",19,1,"btc"
"F100Q1002285",29,3,"btc"
"F100Q1002289",22,1,"btc"
"F100Q1002291",13,1,"btc"
"F100Q1002291",17,2,"btc"
"F100Q1002291",19,1,"btc"
"F100Q1002291",33,1,"btc"
"F100Q1002291",37,2,"btc"
"F100Q1002291",39,1,"btc"
"F100Q1002291",43,2,"btc"
"F100Q1002291",45,2,"btc"
"F100Q1002291",48,3,"btc"
"F100Q1002291",50,3,"btc"
"F100Q1002291",55,4,"btc"
"F100Q1002291",67,1,"btc"
"F100Q1002291",71,1,"btc"
"F100Q1002291",74,1,"btc"
"F100Q1002291",85,1,"btc"
"F100Q1002311",7,1,"btc"
"F100Q1002327",29,1,"btc"
"F100Q1002331",40,3,"btc"
"F100Q1002331",43,2,"btc"
"F100Q1002331",45,1,"btc"
"F100Q1002333",9,1,"btc"
"F100Q1002344",10,1,"btc"
"F100Q1002357",15,1,"btc"
"F100Q1002357",24,2,"btc"
"F100Q1002357",27,2,"btc"
"F100Q1002357",29,2,"btc"
"F100Q1002357",36,3,"btc"
"F100Q1002357",47,1,"btc"
"F100Q1002361",13,1,"btc"
"F100Q1002368",22,1,"btc"
"F100Q1002369",17,1,"btc"
"F100Q1002369",19,1,"btc"
"F100Q1002369",28,1,"btc"
