"loanID","HPA2Yr","currentValue","UPB","CLTV","BaseSev"
"104163120968",0.99201063279922913385419360,453927.66,411529.02,0.90659604219756073,0.26
"104165999863",0.83761236720239716698447289,203663.04,196960.74,0.96709123069163653,0.42
"104175429273",1.15538632986627043090638930,133719.78,131816.34,0.98576545668860657,0.18
"104183984663",0.96159038313191051684237593,191778.46,188663.99,0.98376006356501141,0.18
"104211838733",0.96791375671119337598719616,56539.00,55628.07,0.98388846636834751,0.85
"104250120242",0.89980970219888332092637727,137891.45,127183.55,0.92234543911170707,0.51
"104262564482",0.97900250961653940535784585,164814.38,162554.63,0.98628912113129934,0.15
"104279756249",0.99418819614548691087443697,84391.99,75983.94,0.90036909901046295,0.71
"104281099649",0.87433962264150943396226415,232388.00,216504.65,0.93165159130419815,0.87
"104293648755",0.95253295746621341513970649,246898.73,241324.21,0.97742183607019768,0.26
"104298230857",0.83327962879422568795514596,178245.00,177022.90,0.99314370669583999,0.63
"104341238667",0.96791375671119337598719616,287280.00,277755.42,0.96684565580618212,0.40
"104346538672",0.89804500419458749902302860,140126.33,128990.06,0.92052692738045733,0.54
"104373061662",0.98240792992614765561743994,267610.11,262453.18,0.98072968917355177,0.30
"100006771340",1.11994987849331713244228432,220513.53,216144.24,0.98018584165787922,0.17
"100011524480",0.91061661506708010835913312,367970.50,340005.02,0.92400075549534541,-0.01
"100026162343",0.99470154507391900403868242,105876.00,103474.28,0.97731572783255884,0.69
"100059647383",1.01949761676981125579278720,155462.69,150645.35,0.96901288662893971,0.35
"100126969447",0.92110579081250722563849945,145267.50,137006.47,0.94313229042972447,0.78
"100128898796",0.77341676147136997784563798,50884.61,49400.13,0.97082654264226452,0.67
"100166218203",0.96160622323413156610831029,107880.00,106447.47,0.98672107897664071,0.68
"100202404586",0.95450899794475902177802883,134125.89,132265.09,0.98612646670974559,0.27
"100223956589",0.77603613982960919261437710,221925.04,200339.15,0.90273341845516846,0.28
